,City,Rank,Obesity levels(Country),Life expectancy(years) (Country),Annual avg. hours worked,Happiness levels(Country)
0,Amsterdam,1,20.40,81.2,1434.0,7.44
1,Sydney,2,29.00,82.1,1712.0,7.22
2,Vienna,3,20.10,81.0,1501.0,7.29
3,Stockholm,4,20.60,81.8,1452.0,7.35
4,Copenhagen,5,19.70,79.8,1380.0,7.64
5,Helsinki,6,22.20,80.4,1540.0,7.8
6,Fukuoka,7,4.30,83.2,1644.0,5.87
7,Berlin,8,22.30,80.6,1386.0,7.07
8,Barcelona,9,23.80,82.2,1686.0,6.4
9,Vancouver,10,29.40,81.7,1670.0,7.23
10,Melbourne,11,29.00,82.1,1712.0,7.22
11,Beijing,12,6.20,75.4,1673.0,5.12
12,Bangkok,13,10.00,74.1,1673.0,5.99
13,Buenos Aires,14,28.30,75.9,1673.0,5.97
14,Toronto,15,29.40,81.7,1670.0,7.23
15,Madrid,16,23.80,82.2,1686.0,6.4
16,Jakarta,17,6.90,68.5,1673.0,5.28
17,Seoul,18,4.70,81.3,1967.0,5.87
18,Frankfurt,19,22.30,80.6,1386.0,7.07
19,Geneva,20,19.50,82.6,1557.0,7.56
20,Tel Aviv,21,26.10,81.9,1898.0,7.12
21,Istanbul,22,32.10,74.7,1832.0,5.13
22,Cairo,23,32.00,70.7,1673.0,4.15
23,Taipei,24,6.20,75.4,1673.0,5.12
24,Los Angeles,25,36.20,78.8,1779.0,6.94
25,Mumbai,26,3.90,67.3,1673.0,3.57
26,Boston,27,36.20,78.8,1779.0,6.94
27,Dublin,28,25.30,80.5,1772.0,7.09
28,Tokyo,29,4.30,83.2,1644.0,5.87
29,Chicago,30,36.20,78.8,1779.0,6.94
30,Hong Kong,31,6.20,75.4,1673.0,5.51
31,Shanghai,32,6.20,75.4,1673.0,5.12
32,Brussels,33,22.10,80.4,1583.0,6.86
33,San Francisco,34,36.20,78.8,1779.0,6.94
34,Paris,35,21.60,81.8,1505.0,6.66
35,Sao Paulo,36,22.10,73.9,1673.0,6.37
36,Zurich,37,19.50,82.6,1557.0,7.56
37,London,38,27.80,80.4,1538.0,7.16
38,Johannesburg,39,28.30,56.3,1673.0,4.81
39,Milan,40,19.90,82.7,1718.0,6.38
40,"Washington, D.C.",41,36.20,78.8,1779.0,6.94
41,New York,42,36.20,78.8,1779.0,6.94
42,Moscow,43,23.10,69.5,1965.0,5.54
43,Mexico City,44,28.90,76.4,2137.0,6.46
