,City,Rank,Sunshine hours(City),Pollution(Index score) (City),Number of take out places(City)
0,Amsterdam,1,1858.0,31.0,1048
1,Sydney,2,2636.0,27.0,1103
2,Vienna,3,1884.0,17.0,1008
3,Stockholm,4,1821.0,20.0,598
4,Copenhagen,5,1630.0,21.0,523
5,Helsinki,6,1662.0,13.0,309
6,Fukuoka,7,2769.0,51.0,539
7,Berlin,8,1626.0,39.0,1729
8,Barcelona,9,2591.0,65.0,2344
9,Vancouver,10,1938.0,24.0,788
10,Melbourne,11,2363.0,26.0,813
11,Beijing,12,2671.0,85.0,261
12,Bangkok,13,2624.0,77.0,1796
13,Buenos Aires,14,2525.0,53.0,1435
14,Toronto,15,2066.0,38.0,1656
15,Madrid,16,2769.0,53.0,2491
16,Jakarta,17,2983.0,84.0,833
17,Seoul,18,2066.0,58.0,389
18,Frankfurt,19,1662.0,38.0,551
19,Geneva,20,2246.0,27.0,444
20,Tel Aviv,21,3311.0,47.0,420
21,Istanbul,22,2218.0,69.0,934
22,Cairo,23,3542.0,92.0,250
23,Taipei,24,1405.0,49.0,717
24,Los Angeles,25,3254.0,66.0,1439
25,Mumbai,26,2584.0,83.0,1183
26,Boston,27,2634.0,27.0,588
27,Dublin,28,1453.0,40.0,659
28,Tokyo,29,1877.0,43.0,5802
29,Chicago,30,2508.0,43.0,1320
30,Hong Kong,31,1836.0,67.0,1257
31,Shanghai,32,1776.0,77.0,346
32,Brussels,33,1546.0,63.0,988
33,San Francisco,34,3062.0,47.0,1031
34,Paris,35,1662.0,65.0,4363
35,Sao Paulo,36,2003.0,80.0,3355
36,Zurich,37,1566.0,17.0,538
37,London,38,1633.0,59.0,6417
38,Johannesburg,39,3124.0,62.0,492
39,Milan,40,1915.0,67.0,2396
40,"Washington, D.C.",41,2528.0,39.0,744
41,New York,42,2535.0,57.0,3081
42,Moscow,43,1901.0,58.0,3206
43,Mexico City,44,2555.0,83.0,1313
