,City,latitud,longitud
0,"(52.3727598, 4.8936041)",52.3727598,4.8936041
1,"(-33.8698439, 151.2082848)",-33.8698439,151.2082848
2,"(48.2083537, 16.3725042)",48.2083537,16.3725042
3,"(59.3251172, 18.0710935)",59.3251172,18.0710935
4,"(55.6867243, 12.5700724)",55.6867243,12.5700724
5,"(60.1674881, 24.9427473)",60.1674881,24.9427473
6,"(33.6251241, 130.6180016)",33.6251241,130.6180016
7,"(52.5170365, 13.3888599)",52.5170365,13.3888599
8,"(41.3828939, 2.1774322)",41.3828939,2.1774322
9,"(49.2608724, -123.113952)",49.2608724,-123.113952
10,"(-37.8142176, 144.9631608)",-37.8142176,144.9631608
11,"(39.906217, 116.3912757)",39.906217,116.3912757
12,"(13.7525438, 100.4934734)",13.7525438,100.4934734
13,"(-34.6075682, -58.4370894)",-34.6075682,-58.4370894
14,"(43.6534817, -79.3839347)",43.6534817,-79.3839347
15,"(40.4167047, -3.7035825)",40.4167047,-3.7035825
16,"(-6.1753942, 106.827183)",-6.1753942,106.827183
17,"(37.5666791, 126.9782914)",37.5666791,126.9782914
18,"(50.1106444, 8.6820917)",50.1106444,8.6820917
19,"(46.2017559, 6.1466014)",46.2017559,6.1466014
20,"(32.0852997, 34.7818064)",32.0852997,34.7818064
21,"(41.0091982, 28.9662187)",41.0091982,28.9662187
22,"(30.0443879, 31.2357257)",30.0443879,31.2357257
23,"(25.0375198, 121.5636796)",25.0375198,121.5636796
24,"(34.0536909, -118.242766)",34.0536909,-118.242766
25,"(19.0759899, 72.8773928)",19.0759899,72.8773928
26,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
27,"(53.3497645, -6.2602732)",53.3497645,-6.2602732
28,"(35.6828387, 139.7594549)",35.6828387,139.7594549
29,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
30,"(22.2793278, 114.1628131)",22.2793278,114.1628131
31,"(31.2322758, 121.4692071)",31.2322758,121.4692071
32,"(50.8465573, 4.351697)",50.8465573,4.351697
33,"(37.7790262, -122.419906)",37.7790262,-122.419906
34,"(48.8588897, 2.3200410217200766)",48.8588897,2.3200410217200766
35,"(-23.5506507, -46.6333824)",-23.5506507,-46.6333824
36,"(47.3744489, 8.5410422)",47.3744489,8.5410422
37,"(51.5073219, -0.1276474)",51.5073219,-0.1276474
38,"(-26.205, 28.049722)",-26.205,28.049722
39,"(45.4641943, 9.1896346)",45.4641943,9.1896346
40,"(38.9074322, -77.0350922)",38.9074322,-77.0350922
41,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
42,"(55.7504461, 37.6174943)",55.7504461,37.6174943
43,"(19.4326296, -99.1331785)",19.4326296,-99.1331785
